label,cutoff_n,skr
slow-gen,93,0.011120992520033238
slow-gen,94,0.011122218501554386
slow-gen,95,0.01111857672052406
slow-gen,96,0.011114612501450146
slow-gen,97,0.011111954580086124
slow-gen,98,0.011117776329458677
slow-gen,99,0.011121952047800372
slow-gen,100,0.011121930518828683
slow-gen,101,0.01112959824954558
slow-gen,102,0.011124848130762185
slow-gen,103,0.011123133590116619
slow-gen,104,0.011124597790687796
slow-gen,105,0.011124780152296685
slow-gen,106,0.01111926186735935
slow-gen,107,0.011110405803499972
slow-gen,108,0.011109696154256008
slow-gen,109,0.01110838420407709
slow-gen,110,0.011113663573855886
slow-gen,111,0.011114014828294218
slow-gen,112,0.011111829368769786
slow-gen,113,0.011108529800235566
slow-gen,114,0.011111843204745361
slow-gen,115,0.01111155996454959
slow-gen,116,0.011112071130696339
slow-gen,117,0.011110180122811637
slow-gen,118,0.011110928512198796
slow-gen,119,0.011107086313114647
slow-gen,120,0.011108141731123119
slow-gen,121,0.011104590038132299
slow-gen,122,0.011101256363794058
slow-gen,123,0.011101041758549996
slow-gen,124,0.011107947412596764
slow-gen,125,0.011107842151992935
slow-gen,126,0.01110802212334347
slow-gen,127,0.011109621089236176
slow-gen,128,0.011110615686548964
slow-gen,129,0.011110943394348916
slow-gen,130,0.011106554399695722
slow-gen,131,0.011112421294091818
slow-gen,132,0.011111472284895639
slow-gen,133,0.01111239319969313
slow-gen,134,0.011111971639523505
slow-gen,135,0.011111855466704464
slow-gen,136,0.011111708644185054
slow-gen,137,0.011109693159507205
slow-gen,138,0.011110036443329776
slow-gen,139,0.011109082321886812
slow-gen,140,0.01110821584459201
slow-gen,141,0.011107833678523507
slow-gen,142,0.01110718713971701
slow-gen,143,0.01110776610222813
slow-gen,144,0.011108693422984279
slow-gen,145,0.011108679055886679
slow-gen,146,0.01110854796040972
slow-gen,147,0.011108317261922072
slow-gen,148,0.011108195503864845
slow-gen,149,0.011107466930820483
slow-gen,150,0.011107411420598264
imperfect-src,1,0.006566349175600641
imperfect-src,2,0.00928743624745201
imperfect-src,3,0.011276271090439225
imperfect-src,4,0.012684340817965198
imperfect-src,5,0.013802935710799432
imperfect-src,6,0.014691287979978138
imperfect-src,7,0.01537780118331738
imperfect-src,8,0.0159250034146289
imperfect-src,9,0.016387118685131832
imperfect-src,10,0.01678974083628471
